safe,suggestive,questionable,explicit,semi-grimdark,grimdark,grotesque,total,timestamp,timestep
32, 1, 0, 22, 0, 0, 0, 77, 1071045.7995135784, 3602.9223470687866
12, 3, 0, -7, 2, 0, 0, 0, 1074647.828750372, 3602.029236793518
11, 3, 1, 7, 1, 0, 0, 33, 1078249.7127373219, 3601.8839869499207
18, 0, 1, 9, 0, 0, 0, 28, 1081851.7205975056, 3602.007860183716
34, 14, 0, 0, 1, 1, 0, 0, 1085453.619276762, 3601.898679256439
15, 1, 0, 3, 2, 0, 1, 70, 1089055.2270855904, 3601.607808828354
27, -1, -1, 6, 0, 0, 6, 26, 1092657.464215517, 3602.2371299266815
23, 2, 2, 10, 0, 0, 0, 40, 1096258.8617954254, 3601.397579908371
18, 4, 3, 2, 1, 0, 0, 41, 1099860.9171843529, 3602.0553889274597
19, 3, 6, 6, 0, 0, 0, 28, 1103463.0972981453, 3602.1801137924194
35, 1, 2, 16, 0, 0, 0, 50, 1107065.0843427181, 3601.98704457283
38, 7, 4, 10, 3, 1, 0, 77, 1114868.0379781723, 7802.953635454178
52, 3, 2, 11, 0, 0, 0, 54, 1118469.9533965588, 3601.9154183864594
25, 1, 2, 6, 0, 0, 0, 33, 1122071.0235931873, 3601.0701966285706
54, 4, 6, 10, 0, 0, 0, 76, 1125672.7264053822, 3601.702812194824
21, 0, 4, 11, 0, 0, 1, 28, 1129273.8218581676, 3601.095452785492
22, 6, 2, 10, 2, 0, 0, 48, 1132875.6394693851, 3601.817611217499
8, 3, 4, 16, 0, 2, 0, 40, 1136477.4844079018, 3601.844938516617
15, 4, 0, 2, 0, 0, 0, 32, 1140079.0525095463, 3601.568101644516
36, 4, -2, 8, 2, 0, 0, 0, 1143680.650184393, 3601.597674846649
41, 7, 3, 4, 0, 0, 0, 82, 1147282.3562824726, 3601.7060980796814
15, 1, 3, 1, 0, 1, 0, 17, 1150883.9082343578, 3601.5519518852234
5, 1, -2, -5, 0, 0, 0, 2, 1154485.0816226006, 3601.1733882427216
11, 0, 1, 3, 0, 1, 0, 15, 1158086.7471766472, 3601.665554046631
14, 2, 1, 5, 0, 0, 0, 0, 1161688.1923446655, 3601.445168018341
33, 0, 1, 1, 0, 0, 0, 57, 1165290.0138509274, 3601.8215062618256
24, 7, 1, 4, 0, 0, 0, 36, 1168891.710468769, 3601.6966178417206
13, 1, 1, 2, 0, 1, 1, 18, 1172493.4675068855, 3601.757038116455
11, 4, 0, -2, 0, 0, 0, 18, 1176094.5041573048, 3601.0366504192352
27, 3, -2, 0, 1, 0, 0, 13, 1179695.6645002365, 3601.1603429317474
26, 1, 1, 8, 0, 0, 0, 46, 1183297.3710854053, 3601.7065851688385
27, 2, 2, 9, 0, 1, 0, 40, 1186899.0190303326, 3601.6479449272156
23, 2, 3, 5, 0, 1, 0, 22, 1190500.1504600048, 3601.131429672241
34, 3, 1, 13, 0, 0, 0, 62, 1194101.9888429642, 3601.838382959366
15, 4, 0, 2, 0, 0, 0, 24, 1197703.1496169567, 3601.1607739925385
27, -1, -1, 6, 0, 0, 1, 60, 1201304.8104579449, 3601.660840988159
60, 3, 4, 5, 0, 1, 0, 0, 1204905.9830172062, 3601.172559261322
40, 1, 1, 8, 1, 0, 0, 101, 1208507.7412369251, 3601.758219718933
30, 2, 5, 7, 0, 0, -1, 34, 1212109.4693500996, 3601.7281131744385
22, 2, 2, 6, 2, 0, 0, 34, 1215711.301885128, 3601.8325350284576
13, 0, 0, 4, 2, 0, 0, 27, 1219313.0593762398, 3601.7574911117554
16, 4, 1, 6, 2, 0, 0, 25, 1222914.062606573, 3601.0032303333282
27, 9, 6, 12, 0, 3, 0, 49, 1226515.7379927635, 3601.6753861904144
35, 4, -1, 5, 0, 0, 0, 0, 1230117.4017634392, 3601.663770675659
15, 4, 0, 2, 1, 0, 0, 72, 1233719.0988442898, 3601.697080850601
22, 3, 2, 8, 0, 0, 0, 28, 1237320.4392857552, 3601.340441465378
7, -1, 1, 1, -1, 1, 0, 9, 1240922.1804916859, 3601.74120593071
12, -1, -1, -3, 0, 0, 0, 13, 1244523.844105482, 3601.663613796234
7, 2, 1, 3, 0, 1, 0, 10, 1248125.6296019554, 3601.7854964733124
17, 2, 3, 1, 0, 0, 0, 23, 1251726.7143352032, 3601.084733247757
